City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,15.25,44,40,10.29,CL,1707156957
1,waitangi,-43.9535,-176.5597,17.12,94,83,0.89,NZ,1707156945
2,invercargill,-46.4,168.35,20.01,66,100,6.71,NZ,1707156958
3,ed damer,17.5928,33.9592,21.82,22,100,5.95,SD,1707156958
4,calderitas,18.55,-88.25,28.06,47,40,5.14,MX,1707156958
5,bonthe,7.5264,-12.505,28.79,65,5,5.31,SL,1707156958
6,bredasdorp,-34.5322,20.0403,23.2,68,0,4.03,ZA,1707156931
7,savanna-la-mar,18.219,-78.1332,26.97,76,23,5.38,JM,1707156959
8,juegang,32.3174,121.1855,-0.07,83,97,4.08,CN,1707156959
9,tindouf,27.6711,-8.1474,20.25,22,0,6.69,DZ,1707156860
10,blackmans bay,-43.0167,147.3167,11.07,75,14,0.45,AU,1707156960
11,hamilton,39.1834,-84.5333,11.63,45,0,4.63,US,1707156877
12,richards bay,-28.783,32.0377,22.94,89,21,2.21,ZA,1707156960
13,nicoya,10.1483,-85.452,29.5,60,62,2.3,CR,1707156960
14,lachute,45.6501,-74.3325,1.97,71,13,2.34,CA,1707156961
15,puerto ayora,-0.7393,-90.3518,27.98,90,73,2.68,EC,1707156961
16,ilulissat,69.2167,-51.1,-20.99,54,20,5.66,GL,1707156937
17,turpan,42.9333,89.1667,0.33,48,65,0.65,CN,1707156962
18,wailua homesteads,22.0669,-159.378,21.53,71,100,11.32,US,1707156962
19,grytviken,-54.2811,-36.5092,8.21,61,99,4.36,GS,1707156962
20,albany,42.6001,-73.9662,3.65,48,22,1.79,US,1707156962
21,avarua,-21.2078,-159.775,28.03,83,20,6.17,CK,1707156963
22,port lincoln,-34.7333,135.8667,15.03,67,1,5.23,AU,1707156963
23,new norfolk,-42.7826,147.0587,11.72,95,6,1.14,AU,1707156847
24,yakeshi,49.2833,120.7333,-26.5,97,95,0.85,CN,1707156963
25,murmashi,68.8154,32.8115,-26.44,75,0,2.0,RU,1707156964
26,port-aux-francais,-49.35,70.2167,6.13,84,97,13.18,TF,1707156969
27,brookings,44.3114,-96.7984,2.99,97,75,4.63,US,1707156678
28,adamstown,-25.066,-130.1015,22.92,89,100,7.51,PN,1707156970
29,margaret river,-33.95,115.0667,12.96,91,2,4.11,AU,1707156970
30,kingscliff,-28.2667,153.5667,24.31,100,40,2.06,AU,1707156970
31,sitangkai,4.6628,119.3928,27.24,77,100,2.15,PH,1707156970
32,karyes,37.3,22.5,9.0,77,10,1.6,GR,1707156971
33,edinburgh of the seven seas,-37.0676,-12.3116,15.91,64,10,3.24,SH,1707156971
34,bilibino,68.0546,166.4372,-34.73,100,77,0.51,RU,1707156971
35,bethel,41.3712,-73.414,7.72,45,0,3.6,US,1707156931
36,grand falls-windsor,48.9332,-55.6649,0.28,95,100,4.92,CA,1707156972
37,remire-montjoly,4.9167,-52.2667,31.02,70,40,6.17,GF,1707156972
38,bulungu,-4.55,18.6,22.19,91,99,1.21,CD,1707156972
39,qaqortoq,60.7167,-46.0333,-16.54,69,0,1.85,GL,1707156972
40,ta`u,-14.2336,-169.5144,28.04,78,99,3.46,AS,1707156949
